;fecha;año;Mes;Día;Hora;perfil_20
17879;2024-01-15;2024;1;15;24;0.00015214891769753448
17880;2024-01-16;2024;1;16;1;0.0001242824438360131
17881;2024-01-16;2024;1;16;2;0.00010214102091513975
17882;2024-01-16;2024;1;16;3;9.016075932717621e-05
17883;2024-01-16;2024;1;16;4;8.419008442293649e-05
17884;2024-01-16;2024;1;16;5;8.232217462325791e-05
17885;2024-01-16;2024;1;16;6;8.514631238323183e-05
17886;2024-01-16;2024;1;16;7;9.775047906621417e-05
17887;2024-01-16;2024;1;16;8;0.0001249969246430493
17888;2024-01-16;2024;1;16;9;0.0001381414981514222
17889;2024-01-16;2024;1;16;10;0.0001441755046472694
17890;2024-01-16;2024;1;16;11;0.00015121040658730195
17891;2024-01-16;2024;1;16;12;0.0001504791145072179
17892;2024-01-16;2024;1;16;13;0.0001507739033112436
17893;2024-01-16;2024;1;16;14;0.0001589186622311663
17894;2024-01-16;2024;1;16;15;0.0001622143532452855
17895;2024-01-16;2024;1;16;16;0.00015454505914279672
17896;2024-01-16;2024;1;16;17;0.00014841130584370316
17897;2024-01-16;2024;1;16;18;0.00015115119779945027
17898;2024-01-16;2024;1;16;19;0.00017006832877016338
17899;2024-01-16;2024;1;16;20;0.00019073745910236673
17900;2024-01-16;2024;1;16;21;0.00020607207818364466
17901;2024-01-16;2024;1;16;22;0.0002078771994805889
17902;2024-01-16;2024;1;16;23;0.00018777760787163522
17903;2024-01-16;2024;1;16;24;0.00015482235968706826
17904;2024-01-17;2024;1;17;1;0.0001242824438360131
17905;2024-01-17;2024;1;17;2;0.00010214102091513975
17906;2024-01-17;2024;1;17;3;9.016075932717621e-05
17907;2024-01-17;2024;1;17;4;8.419008442293649e-05
17908;2024-01-17;2024;1;17;5;8.232217462325791e-05
17909;2024-01-17;2024;1;17;6;8.514631238323183e-05
17910;2024-01-17;2024;1;17;7;9.775047906621417e-05
17911;2024-01-17;2024;1;17;8;0.0001249969246430493
17912;2024-01-17;2024;1;17;9;0.0001381414981514222
17913;2024-01-17;2024;1;17;10;0.0001441755046472694
17914;2024-01-17;2024;1;17;11;0.00015121040658730195
17915;2024-01-17;2024;1;17;12;0.0001504791145072179
17916;2024-01-17;2024;1;17;13;0.0001507739033112436
17917;2024-01-17;2024;1;17;14;0.0001589186622311663
17918;2024-01-17;2024;1;17;15;0.0001622143532452855
17919;2024-01-17;2024;1;17;16;0.00015454505914279672
17920;2024-01-17;2024;1;17;17;0.00014841130584370316
17921;2024-01-17;2024;1;17;18;0.00015115119779945027
17922;2024-01-17;2024;1;17;19;0.00017006832877016338
17923;2024-01-17;2024;1;17;20;0.00019073745910236673
17924;2024-01-17;2024;1;17;21;0.00020607207818364466
17925;2024-01-17;2024;1;17;22;0.0002078771994805889
17926;2024-01-17;2024;1;17;23;0.00018777760787163522
17927;2024-01-17;2024;1;17;24;0.00015482235968706826
17928;2024-01-18;2024;1;18;1;0.0001242824438360131
17929;2024-01-18;2024;1;18;2;0.00010214102091513975
17930;2024-01-18;2024;1;18;3;9.016075932717621e-05
17931;2024-01-18;2024;1;18;4;8.419008442293649e-05
17932;2024-01-18;2024;1;18;5;8.232217462325791e-05
17933;2024-01-18;2024;1;18;6;8.514631238323183e-05
17934;2024-01-18;2024;1;18;7;9.775047906621417e-05
17935;2024-01-18;2024;1;18;8;0.0001249969246430493
17936;2024-01-18;2024;1;18;9;0.0001381414981514222
17937;2024-01-18;2024;1;18;10;0.0001441755046472694
17938;2024-01-18;2024;1;18;11;0.00015121040658730195
17939;2024-01-18;2024;1;18;12;0.0001504791145072179
17940;2024-01-18;2024;1;18;13;0.0001507739033112436
17941;2024-01-18;2024;1;18;14;0.0001589186622311663
17942;2024-01-18;2024;1;18;15;0.0001622143532452855
17943;2024-01-18;2024;1;18;16;0.00015454505914279672
17944;2024-01-18;2024;1;18;17;0.00014841130584370316
17945;2024-01-18;2024;1;18;18;0.00015115119779945027
17946;2024-01-18;2024;1;18;19;0.00017006832877016338
17947;2024-01-18;2024;1;18;20;0.00019073745910236673
17948;2024-01-18;2024;1;18;21;0.00020607207818364466
17949;2024-01-18;2024;1;18;22;0.0002078771994805889
17950;2024-01-18;2024;1;18;23;0.00018777760787163522
17951;2024-01-18;2024;1;18;24;0.00015482235968706826
17952;2024-01-19;2024;1;19;1;0.00012583217462153366
17953;2024-01-19;2024;1;19;2;0.00010336264204897656
17954;2024-01-19;2024;1;19;3;9.08202004739153e-05
17955;2024-01-19;2024;1;19;4;8.465002138140892e-05
17956;2024-01-19;2024;1;19;5;8.260013313102755e-05
17957;2024-01-19;2024;1;19;6;8.544882623007252e-05
17958;2024-01-19;2024;1;19;7;9.757292815210879e-05
17959;2024-01-19;2024;1;19;8;0.00012426486285220794
17960;2024-01-19;2024;1;19;9;0.0001376569443386188
17961;2024-01-19;2024;1;19;10;0.00014426029436488441
17962;2024-01-19;2024;1;19;11;0.0001511963517298319
17963;2024-01-19;2024;1;19;12;0.00015010213480750752
17964;2024-01-19;2024;1;19;13;0.0001493279170854658
17965;2024-01-19;2024;1;19;14;0.0001564924376326141
17966;2024-01-19;2024;1;19;15;0.00016026815328264274
17967;2024-01-19;2024;1;19;16;0.00015354508270621912
17968;2024-01-19;2024;1;19;17;0.00014770476110154683
17969;2024-01-19;2024;1;19;18;0.00014928098645858724
17970;2024-01-19;2024;1;19;19;0.00016576566509528905
17971;2024-01-19;2024;1;19;20;0.0001818399267885384
17972;2024-01-19;2024;1;19;21;0.00019208405063677816
17973;2024-01-19;2024;1;19;22;0.00019636339286733991
17974;2024-01-19;2024;1;19;23;0.0001832281680182409
17975;2024-01-19;2024;1;19;24;0.00015821508735913275
17976;2024-01-20;2024;1;20;1;0.00013492793197192215
17977;2024-01-20;2024;1;20;2;0.00011213040003498026
17978;2024-01-20;2024;1;20;3;9.717655406008993e-05
17979;2024-01-20;2024;1;20;4;8.908213885459252e-05
17980;2024-01-20;2024;1;20;5;8.552298539538826e-05
17981;2024-01-20;2024;1;20;6;8.583512587193037e-05
17982;2024-01-20;2024;1;20;7;8.96541844344257e-05
17983;2024-01-20;2024;1;20;8;9.890409150819862e-05
17984;2024-01-20;2024;1;20;9;0.0001143987348441712
17985;2024-01-20;2024;1;20;10;0.0001418104854949599
17986;2024-01-20;2024;1;20;11;0.00016152024990655952
17987;2024-01-20;2024;1;20;12;0.00016512455040706365
